Date|Code|Description|Type|Isin Code|Issuer|Status|Stock Exchange|Listing Date|Currency|Form|Eff. Date Isin|Maturity Date|Expire Date|Exercise Price|Interest|Interest Type|Interest Freq|Nominal Value|Num. of Sec|Originated Amt|Current Amt|Total Scripless|Local (%)|Foreign (%)|Total (%)|Sector|Closing Price
29-OCT-2021|PPRO10XXMF|MTN X PP PROPERTI Tbk|TERM NOTES|IDH000045202|PP Properti Tbk, PT|ACTIVE|||IDR|Electronic||15-NOV-2021|||10.75|FIXED|3 MONTHS|||200000000000|200000000000|200000000000|100|0|100|PROPERTY AND REAL ESTATE|1
29-OCT-2021|PPRO14XXMF|MTN XIV PP PROPERTI Tbk|TERM NOTES|IDH000061506|PP Properti Tbk, PT|ACTIVE|||IDR|Electronic||30-JUL-2022|||11.25|Fixed|3 MONTHS|||120000000000|120000000000|120000000000|100|0|100|PROPERTY AND REAL ESTATE|1
29-OCT-2021|PRKN01XXMF|MTN I PERIKANAN NUSANTARA TAHUN 2017|TERM NOTES|IDH000046606|PERIKANAN NUSANTARA (PERSERO), PT|ACTIVE|||IDR|Electronic||04-DEC-2022|||12.5|FIXED|3 MONTHS|||200000000000|200000000000|200000000000|100|0|100|FISHERY|1
29-OCT-2021|PRND01BXMF|MTN I PERUM PERIKANAN INDONESIA TAHUN 2017 SERI B|TERM NOTES|IDH0000425B2|PERUM PERIKANAN INDONESIA|ACTIVE|||IDR|Electronic||22-DEC-2021|||11|FIXED|3 MONTHS|||81000000000|20250000000|20250000000|100|0|100|FISHERY|1
29-OCT-2021|PRNS01AXJP|SUJP YANG DITAWARKAN MELALUI PENAWARAN TERBATAS PERUM PERUMNAS TAHUN 2020 SERI A|TERM NOTES|IDH000068303|PERUM PERUMNAS|ACTIVE|||IDR|Electronic||30-NOV-2027|||6|FIXED|SEMI-ANNUAL|||200000000000|200000000000|200000000000|100|0|100|PROPERTY AND REAL ESTATE|1
29-OCT-2021|PRNS01BXJP|SUJP YANG DITAWARKAN MELALUI PENAWARAN TERBATAS PERUM PERUMNAS TAHUN 2020 SERI B|TERM NOTES|IDH0000683B6|PERUM PERUMNAS|ACTIVE|||IDR|Electronic||30-NOV-2027|||6|Fixed|SEMI-ANNUAL|||450000000000|450000000000|450000000000|100|0|100|PROPERTY AND REAL ESTATE|1
29-OCT-2021|PRNS22BXMF|MTN I PERUM PERUMNAS TAHUN 2017 SERI B|TERM NOTES|IDH0000389B0|PERUM PERUMNAS|ACTIVE|||IDR|Electronic||26-APR-2022|||10.25|FIXED|3 MONTHS|||100000000000|100000000000|100000000000|100|0|100|PROPERTY AND REAL ESTATE|1
29-OCT-2021|PRNS25AXMF|MTN III PERUM PERUMNAS TAHUN 2018 SERI A|TERM NOTES|IDH0000567A3|PERUM PERUMNAS|ACTIVE|||IDR|Electronic||10-DEC-2023|||10.75|FIXED|3 MONTHS|||235000000000|235000000000|235000000000|100|0|100|PROPERTY AND REAL ESTATE|1
29-OCT-2021|PRNS25BXMF|MTN III PERUM PERUMNAS TAHUN 2018 SERI B|TERM NOTES|IDH0000567B1|PERUM PERUMNAS|ACTIVE|||IDR|Electronic||10-DEC-2023|||11.75|Fixed|3 MONTHS|||65000000000|65000000000|65000000000|100|0|100|PROPERTY AND REAL ESTATE|1
29-OCT-2021|PRNS26XXMF|MTN I PERUM PERUMNAS TAHUN 2019|TERM NOTES|IDH000059005|PERUM PERUMNAS|ACTIVE|||IDR|Electronic||18-MAR-2024|||11.75|Fixed|3 MONTHS|||150000000000|150000000000|150000000000|100|0|100|PROPERTY AND REAL ESTATE|1
29-OCT-2021|PRNS28XXMF|MTN III PERUM PERUMNAS TAHUN 2019|TERM NOTES|IDH000058908|PERUM PERUMNAS|ACTIVE|||IDR|Electronic||27-FEB-2024|||11.75|Fixed|3 MONTHS|||155000000000|155000000000|155000000000|100|0|100|PROPERTY AND REAL ESTATE|1
29-OCT-2021|PRNS29XXMF|MTN IV PERUM PERUMNAS TAHUN 2019|TERM NOTES|IDH000059302|PERUM PERUMNAS|ACTIVE|||IDR|Electronic||05-APR-2024|||11.75|Fixed|3 MONTHS|||200000000000|200000000000|200000000000|100|0|100|PROPERTY AND REAL ESTATE|1
29-OCT-2021|PRNS30AXMF|MTN V PERUM PERUMNAS TAHUN 2019 SERI A|TERM NOTES|IDH0000599A6|PERUM PERUMNAS|ACTIVE|||IDR|Electronic||30-APR-2022|||10.75|Fixed|3 MONTHS|||50000000000|50000000000|50000000000|100|0|100|PROPERTY AND REAL ESTATE|1
29-OCT-2021|PRNS30BXMF|MTN V PERUM PERUMNAS TAHUN 2019 SERI B|TERM NOTES|IDH0000599B4|PERUM PERUMNAS|ACTIVE|||IDR|Electronic||30-APR-2024|||11.75|Fixed|3 MONTHS|||150000000000|150000000000|150000000000|100|0|100|PROPERTY AND REAL ESTATE|1
29-OCT-2021|PRNS31AXMF|MTN VI PERUM PERUMNAS TAHUN 2019 SERI A|TERM NOTES|IDH0000616A8|PERUM PERUMNAS|ACTIVE|||IDR|Electronic||30-JUL-2024|||11.75|Fixed|3 MONTHS|||105000000000|105000000000|105000000000|100|0|100|PROPERTY AND REAL ESTATE|1
29-OCT-2021|PRNS31BXMF|MTN VI PERUM PERUMNAS TAHUN 2019 SERI B|TERM NOTES|IDH0000616B6|PERUM PERUMNAS|ACTIVE|||IDR|Electronic||12-MAR-2025|||11.75|Fixed|3 MONTHS|||100000000000|100000000000|100000000000|100|0|100|PROPERTY AND REAL ESTATE|1
29-OCT-2021|PRNS33XXMF|MTN VIII PERUM PERUMNAS TAHUN 2019|TERM NOTES|IDH000061100|PERUM PERUMNAS|ACTIVE|||IDR|Electronic||16-JUL-2024|||11.75|Fixed|3 MONTHS|||300000000000|300000000000|300000000000|100|0|100|PROPERTY AND REAL ESTATE|1
29-OCT-2021|PRNS35XXMF|MTN IX PERUM PERUMNAS TAHUN 2019|TERM NOTES|IDH000065002|PERUM PERUMNAS|ACTIVE|||IDR|Electronic||20-DEC-2024|||11.75|Fixed|3 MONTHS|||300000000000|300000000000|300000000000|100|0|100|PROPERTY AND REAL ESTATE|1
29-OCT-2021|PTPD08AXMF|MTN VIII PTPN II SERI A|TERM NOTES|IDH0000606A9|PERKEBUNAN NUSANTARA II, PT|ACTIVE|||IDR|Electronic||26-JUN-2024|||11|Fixed|3 MONTHS|||215000000000|215000000000|215000000000|100|0|100|PLANTATION|1
29-OCT-2021|PTPD08BXMF|MTN VIII PTPN II SERI B|TERM NOTES|IDH0000606B7|PERKEBUNAN NUSANTARA II, PT|ACTIVE|||IDR|Electronic||31-OCT-2024|||11|Fixed|3 MONTHS|||136000000000|136000000000|136000000000|100|0|100|PLANTATION|1
29-OCT-2021|PTPN01XXMS|MTN SYARIAH IJARAH I PTPN III TAHUN 2018|TERM NOTES|IDH000057702|PERKEBUNAN NUSANTARA III (PERSERO), PT|ACTIVE|||IDR|Electronic||23-JAN-2022|||11|Fixed|3 MONTHS|||125000000000|125000000000|125000000000|100|0|100|PLANTATION|1
29-OCT-2021|PTPN02XXMF|MTN II PTPN III TAHUN 2018|TERM NOTES|IDH000057603|PERKEBUNAN NUSANTARA III (PERSERO), PT|ACTIVE|||IDR|Electronic||23-JAN-2022|||11|Fixed|3 MONTHS|||375000000000|375000000000|375000000000|100|0|100|PLANTATION|1
29-OCT-2021|PTPN03AXMF|MTN III PTPN III TAHUN 2019 SERI A|TERM NOTES|IDH0000600A2|PERKEBUNAN NUSANTARA III (PERSERO), PT|ACTIVE|||IDR|Electronic||09-MAY-2022|||11|Fixed|3 MONTHS|||300000000000|300000000000|300000000000|100|0|100|PLANTATION|1
29-OCT-2021|PTPN03BXMF|MTN III PTPN III TAHUN 2019 SERI B|TERM NOTES|IDH0000600B0|PERKEBUNAN NUSANTARA III (PERSERO), PT|ACTIVE|||IDR|Electronic||09-MAY-2024|||11.25|Fixed|3 MONTHS|||600000000000|600000000000|600000000000|100|0|100|PLANTATION|1
29-OCT-2021|PTPN04XXMF|MTN IV PTPN III TAHUN 2019|TERM NOTES|IDH000063700|PERKEBUNAN NUSANTARA III (PERSERO), PT|ACTIVE|||IDR|Electronic||20-NOV-2024|||8.75|Fixed|3 MONTHS|||100000000000|100000000000|100000000000|100|0|100|PLANTATION|1
29-OCT-2021|PTPV02XXMF|MTN II PTPN V TAHUN 2021|TERM NOTES|IDH000069608|PERKEBUNAN NUSANTARA V (PERSERO), PT|ACTIVE|||IDR|Electronic||13-JUL-2026|||11.25|Fixed|3 MONTHS|||445000000000|445000000000|445000000000|100|0|100|PLANTATION|1
29-OCT-2021|PUJI01BXMF|MTN PUJI SURYA INDAH I TAHUN 2018 SERI B|TERM NOTES|IDH0000548B1|PUJI SURYA INDAH, PT|ACTIVE|||IDR|Electronic||19-OCT-2023|||2.5|Fixed|ANNUAL|||35000000000|35000000000|35000000000|100|0|100|FOOD & BEVERAGES|1
29-OCT-2021|REAS01AXMF|MTN REKAPASTIKA ASRI I TAHUN 2019 SERI A|TERM NOTES|IDH0000598A8|REKAPASTIKA ASRI, PT|ACTIVE|||IDR|Electronic||15-APR-2024|||12.3|Fixed|3 MONTHS|||299965000000|299965000000|299965000000|100|0|100|PROPERTY AND REAL ESTATE|1
29-OCT-2021|RICO01XXMF|MTN I RICOBANA ABADI TAHUN 2017|TERM NOTES|IDH000047109|RICOBANA ABADI, PT|ACTIVE|||IDR|Electronic||20-DEC-2022|||11.25|FIXED|3 MONTHS|||400000000000|400000000000|400000000000|100|0|100|METAL AND MINERAL MINING|1
29-OCT-2021|SGKE01XXMF|MTN SOLID GOLD KENCANA I TAHUN 2018|TERM NOTES|IDH000055003|SOLID GOLD KENCANA, PT|ACTIVE|||IDR|Electronic||04-JUL-2022|||6.6|Fixed|3 MONTHS|||65000000000|65000000000|65000000000|100|0|100|PROPERTY AND REAL ESTATE|1
29-OCT-2021|SIIX04AXMF|MTN IV SUCOR INVESTAMA TAHUN 2019 SERI A|TERM NOTES|IDH0000647A3|SUCOR INVESTAMA, PT|ACTIVE|||IDR|Electronic||13-DEC-2021|||10.59|Fixed|3 MONTHS|||150000000000|150000000000|150000000000|100|0|100|INVESTMENT COMPANY|1
